freq_Hz,band,n_cells,n_resolved,pct_resolved,cp95_lo,cp95_hi,sess_median_pct,sess_min_pct,sess_max_pct,n_resolved_decrease,n_resolved_increase,median_T_om_ms,median_estimator_spread_unresolved_ms
4.0,theta,91,1,1.1,0.0,6.0,0.0,0.0,20.0,1,0,309.0,127.0
4.68,theta,91,1,1.1,0.0,6.0,0.0,0.0,20.0,0,1,212.0,155.5
5.48,theta,91,0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,327.5
6.42,theta,91,0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,162.0
7.52,theta,91,1,1.1,0.0,6.0,0.0,0.0,25.0,0,1,399.0,311.5
8.8,alpha,91,0,0.0,0.0,4.0,0.0,0.0,0.0,0,0,,272.0
10.3,alpha,91,1,1.1,0.0,6.0,0.0,0.0,20.0,1,0,103.0,333.0
12.06,alpha,91,4,4.4,1.2,10.9,0.0,0.0,40.0,4,0,127.0,250.0
14.12,beta,91,6,6.6,2.5,13.8,0.0,0.0,33.3,6,0,12.0,254.0
16.53,beta,91,4,4.4,1.2,10.9,0.0,0.0,33.3,4,0,0.0,354.0
19.36,beta,91,3,3.3,0.7,9.3,0.0,0.0,25.0,3,0,7.0,357.5
22.66,beta,91,8,8.8,3.9,16.6,0.0,0.0,33.3,8,0,0.0,369.0
26.53,beta,91,15,16.5,9.5,25.7,0.0,0.0,60.0,15,0,11.0,156.5
31.06,low_gamma,91,15,16.5,9.5,25.7,0.0,0.0,80.0,15,0,42.0,191.5
36.37,low_gamma,91,11,12.1,6.2,20.6,0.0,0.0,50.0,11,0,59.0,203.0
42.58,low_gamma,91,4,4.4,1.2,10.9,0.0,0.0,25.0,4,0,134.5,165.0
49.85,low_gamma,91,6,6.6,2.5,13.8,0.0,0.0,50.0,6,0,62.0,218.0
58.36,high_gamma,91,11,12.1,6.2,20.6,0.0,0.0,50.0,9,2,130.0,200.5
68.33,high_gamma,91,13,14.3,7.8,23.2,0.0,0.0,50.0,8,5,138.0,174.0
80.0,out_of_band,91,10,11.0,5.4,19.3,0.0,0.0,50.0,7,3,123.0,154.0
