unit_public,subject_public,session_public,area,unit_class,T_om,T_om_boot_sd,om_estimator_spread,T_om_censored,T_stim,stim_sign,dT_ms,dT_boot_sd,dT_gt_50,om_direction
S01-U001,M1,S01,PFC,non-O,50.0,12.1749649885409,20.0,False,30.0,-1.0,20.0,21.04697618689132,False,decrease
S01-U002,M1,S01,PFC,O+,210.0,92.35994802943536,20.0,False,70.0,-1.0,140.0,91.804139340228,True,increase
S01-U003,M1,S01,MT,non-O,290.0,31.604958773376858,40.0,False,90.0,1.0,200.0,32.45965963571865,True,decrease
S01-U004,M1,S01,MT,O+,190.0,22.56094527190404,0.0,False,210.0,1.0,-20.0,25.299538313978346,False,increase
S01-U005,M1,S01,MT,non-O,290.0,88.37284650841569,0.0,False,50.0,1.0,240.0,88.37284650841569,True,decrease
S01-U006,M1,S01,MT,non-O,210.0,39.80322916742051,0.0,False,70.0,-1.0,140.0,67.39903846114964,True,increase
S01-U007,M1,S01,MT,O+,270.0,38.34937491293721,40.0,False,,,,,False,increase
S01-U008,M1,S01,V1,non-O,50.0,48.02470556761707,0.0,False,50.0,-1.0,0.0,48.09923104016904,False,decrease
S01-U009,M1,S01,V3,non-O,50.0,7.422680412371135,20.0,False,50.0,-1.0,0.0,7.422680412371135,False,decrease
S01-U010,M1,S01,V1,non-O,50.0,5.528109984434102,20.0,False,50.0,-1.0,0.0,5.528109984434102,False,decrease
S01-U011,M1,S01,V3,non-O,410.0,18.467577588984724,40.0,False,90.0,-1.0,320.0,140.1124909029008,True,decrease
S01-U012,M1,S01,V3,non-O,130.0,116.6133369735675,20.0,False,290.0,-1.0,-160.0,118.50251080471205,True,increase
S01-U013,M1,S01,V3,O+,70.0,107.07907348235386,0.0,False,110.0,1.0,-40.0,102.94404376410816,False,increase
S01-U014,M1,S01,V3,non-O,70.0,8.968834929911466,20.0,False,50.0,-1.0,20.0,10.688311372709911,False,decrease
S02-U001,M1,S02,PFC,non-O,250.0,111.5330094114099,0.0,False,110.0,-1.0,140.0,114.45826407418572,True,increase
S02-U002,M1,S02,PFC,non-O,150.0,18.900793634130817,40.0,False,170.0,-1.0,-20.0,19.77473135089324,False,decrease
S02-U003,M1,S02,TEO,non-O,190.0,32.52942907289281,20.0,False,110.0,1.0,80.0,36.013492459915504,True,increase
S02-U004,M1,S02,TEO,non-O,50.0,45.795438880113615,20.0,False,,,,51.45293815022283,False,decrease
S02-U005,M1,S02,TEO,non-O,50.0,23.3311439518288,20.0,False,10.0,-1.0,40.0,73.15424259656129,False,decrease
S02-U006,M1,S02,TEO,O+,70.0,9.703668105529871,40.0,False,,,,14.053715708230198,False,increase
S02-U007,M1,S02,MST,non-O,190.0,37.97683504453735,20.0,False,50.0,1.0,140.0,71.85652371218636,True,decrease
S02-U008,M1,S02,MT,non-O,170.0,27.01956163180757,40.0,False,30.0,1.0,140.0,79.650405809121,True,decrease
S02-U009,M1,S02,MT,non-O,210.0,10.723805294763608,20.0,False,50.0,1.0,160.0,10.723805294763608,True,decrease
S02-U010,M1,S02,MT,non-O,130.0,29.003831164558623,0.0,False,50.0,1.0,80.0,29.00383116455863,True,increase
S02-U011,M1,S02,MT,non-O,130.0,22.67211581759535,20.0,False,50.0,1.0,80.0,22.67211581759535,True,increase
S02-U012,M1,S02,MT,non-O,130.0,30.68547348575658,0.0,False,50.0,1.0,80.0,31.344584750755253,True,increase
S02-U013,M1,S02,MT,non-O,150.0,75.46141544570192,20.0,False,,,,99.3310961716756,False,increase
S02-U014,M1,S02,MST,O+,170.0,31.22372377593804,20.0,False,,,,160.9046447718066,False,increase
S02-U015,M1,S02,MT,non-O,250.0,9.035079029052511,0.0,False,50.0,1.0,200.0,11.811757923015138,True,decrease
S02-U016,M1,S02,MT,non-O,250.0,9.373776905444588,20.0,False,50.0,1.0,200.0,12.87779665788261,True,decrease
S02-U017,M1,S02,MT,non-O,250.0,27.53863996182329,20.0,False,50.0,1.0,200.0,25.635635389566627,True,decrease
S02-U018,M1,S02,MST,non-O,230.0,9.806120537705011,20.0,False,50.0,1.0,180.0,15.034626699722212,True,decrease
S02-U019,M1,S02,MT,non-O,190.0,10.504514628777804,0.0,False,90.0,1.0,100.0,65.26387792182722,True,increase
S02-U020,M1,S02,MST,O+,150.0,28.640004113729645,0.0,False,50.0,-1.0,100.0,28.640004113729645,True,increase
S02-U021,M1,S02,MST,non-O,230.0,9.797958971132712,20.0,False,50.0,1.0,180.0,10.423051376636309,True,decrease
S02-U022,M1,S02,MST,non-O,250.0,5.196152422706632,40.0,False,50.0,1.0,200.0,5.196152422706632,True,decrease
S02-U023,M1,S02,MST,non-O,90.0,92.06337897553522,0.0,False,70.0,1.0,20.0,89.2271970800164,False,increase
S02-U024,M1,S02,MT,non-O,270.0,15.190281939734444,40.0,False,290.0,-1.0,-20.0,97.132160404014,False,decrease
S02-U025,M1,S02,MT,non-O,70.0,122.59824178547132,20.0,False,90.0,-1.0,-20.0,124.13372667718244,False,decrease
S03-U001,M1,S03,FEF,O+,190.0,25.929159465919124,0.0,False,410.0,1.0,-220.0,98.0778532907529,True,increase
S03-U002,M1,S03,FEF,non-O,110.0,23.94652192540693,20.0,False,130.0,-1.0,-20.0,30.982330747708133,False,decrease
S03-U003,M1,S03,MT,non-O,170.0,30.69377702676154,0.0,False,130.0,-1.0,40.0,31.22764479444813,False,decrease
S03-U004,M1,S03,V1,non-O,130.0,38.842320215774855,0.0,False,,,,44.22166387140533,False,decrease
S03-U005,M1,S03,V2,non-O,210.0,77.57158845752122,0.0,False,,,,87.43251365736,False,increase
S03-U006,M1,S03,V2,O+,230.0,67.99513837749878,0.0,False,,,,,False,increase
S03-U007,M1,S03,V2,O+,130.0,66.41079265263986,40.0,False,,,,,False,increase
S03-U008,M1,S03,V3,O+,110.0,131.8922423929492,20.0,False,10.0,-1.0,100.0,138.76383412852883,True,increase
S04-U001,M1,S04,PFC,non-O,150.0,14.733929576740335,20.0,False,130.0,1.0,20.0,14.733929576740335,False,increase
S04-U002,M1,S04,MT,non-O,230.0,5.6709773121689695,20.0,False,10.0,1.0,220.0,84.3714342926534,True,decrease
S04-U003,M1,S04,MT,non-O,230.0,8.604649905719581,20.0,False,350.0,1.0,-120.0,132.4928677325689,True,decrease
S04-U004,M1,S04,MT,non-O,210.0,8.22100604015184,20.0,False,50.0,1.0,160.0,8.221006040151842,True,decrease
S04-U005,M1,S04,MT,non-O,10.0,114.01079444405882,0.0,False,110.0,-1.0,-100.0,115.6242287838237,True,decrease
S04-U006,M1,S04,MST,non-O,170.0,15.350876962838685,40.0,False,210.0,-1.0,-40.0,48.35420108295852,False,decrease
S04-U007,M1,S04,TEO,non-O,130.0,46.77814066895396,0.0,False,,,,93.53308238265218,False,increase
S04-U008,M1,S04,TEO,non-O,190.0,67.27972556956009,20.0,False,70.0,-1.0,120.0,71.06219553638222,True,increase
S04-U009,M1,S04,V4,non-O,250.0,45.504862605831725,20.0,False,70.0,-1.0,180.0,47.08264673177048,True,increase
S04-U010,M1,S04,TEO,O+,130.0,8.694755928996972,20.0,False,170.0,1.0,-40.0,12.801909579781013,False,increase
S04-U011,M1,S04,V4,non-O,130.0,55.592868714141545,0.0,False,,,,,False,increase
S04-U012,M1,S04,V4,non-O,310.0,67.87790489031882,20.0,False,,,,,False,decrease
S04-U013,M1,S04,V4,non-O,150.0,15.54700218191314,0.0,False,90.0,1.0,60.0,15.516432534494404,True,increase
S04-U014,M1,S04,V4,O+,190.0,32.32584105634376,0.0,False,70.0,-1.0,120.0,34.85053801593313,True,increase
S04-U015,M1,S04,TEO,O+,130.0,131.72185759056345,0.0,False,,,,,False,increase
S04-U016,M1,S04,V4,O+,130.0,12.106196760337246,20.0,False,,,,51.93766129849346,False,increase
S04-U017,M1,S04,V4,O+,130.0,22.80701646423749,0.0,False,,,,83.06623862918075,False,increase
S04-U018,M1,S04,TEO,O+,110.0,12.387090053761616,20.0,False,,,,14.568627181693673,False,increase
S04-U019,M1,S04,V4,O+,130.0,68.99196845855867,0.0,False,,,,73.40905181848414,False,increase
S04-U020,M1,S04,V4,non-O,150.0,19.227943277450027,40.0,False,10.0,1.0,140.0,88.90429095452478,True,decrease
S04-U021,M1,S04,TEO,O+,130.0,21.02474732309523,0.0,False,70.0,-1.0,60.0,51.726695638390304,True,increase
S04-U022,M1,S04,TEO,O+,110.0,20.050955496597428,40.0,False,70.0,-1.0,40.0,27.562355944708788,False,increase
S04-U023,M1,S04,TEO,non-O,90.0,13.228756555322953,20.0,False,250.0,1.0,-160.0,36.36237371545239,True,increase
S04-U024,M1,S04,V4,non-O,90.0,7.512655988397181,20.0,False,70.0,-1.0,20.0,146.13131081325454,False,decrease
S04-U025,M1,S04,TEO,O+,410.0,81.02400193084077,20.0,False,70.0,-1.0,340.0,81.16581108378631,True,increase
S04-U026,M1,S04,V4,non-O,170.0,38.224408064753945,0.0,False,70.0,-1.0,100.0,40.02065582373661,True,increase
S05-U001,M1,S05,V3,non-O,30.0,9.971604296678011,20.0,False,50.0,-1.0,-20.0,14.75306383643694,False,decrease
S05-U002,M1,S05,V3,non-O,70.0,68.32195027140904,0.0,False,50.0,1.0,20.0,93.76224199906568,False,increase
S05-U003,M1,S05,V3,non-O,50.0,5.528109984434102,20.0,False,30.0,-1.0,20.0,11.586198686368192,False,decrease
S05-U004,M1,S05,V1,O+,50.0,15.275252316519468,20.0,False,50.0,1.0,0.0,20.094179298161613,False,increase
S05-U005,M1,S05,V1,non-O,10.0,39.97777160150653,20.0,False,170.0,-1.0,-160.0,43.74966358963317,True,decrease
S05-U006,M1,S05,V3,non-O,50.0,14.372195378577342,40.0,False,70.0,-1.0,-20.0,16.737980762326142,False,decrease
S06-U001,M1,S06,FEF,non-O,150.0,63.42020917667366,0.0,False,50.0,-1.0,100.0,87.46534842703082,True,decrease
S06-U002,M1,S06,FEF,non-O,170.0,48.93683149181923,40.0,False,110.0,-1.0,60.0,85.10084699228258,True,increase
S06-U003,M1,S06,MT,non-O,250.0,2.1951219512195124,0.0,False,130.0,1.0,120.0,35.31198588882045,True,decrease
S06-U004,M1,S06,MT,non-O,250.0,12.307692307692308,20.0,False,50.0,1.0,200.0,14.019428615254787,True,decrease
S06-U005,M1,S06,MT,non-O,250.0,3.9191835884530857,20.0,False,30.0,1.0,220.0,5.425863986500215,True,decrease
S06-U006,M1,S06,TEO,O+,170.0,51.09794516416487,40.0,False,130.0,-1.0,40.0,58.31848512726658,False,increase
S06-U007,M1,S06,TEO,non-O,170.0,41.808611553123846,20.0,False,50.0,-1.0,120.0,46.84058069665661,True,increase
S06-U008,M1,S06,V4,non-O,310.0,37.16345582665304,20.0,False,310.0,-1.0,0.0,41.04741680981812,False,decrease
S06-U009,M1,S06,V4,non-O,130.0,19.124257896075715,0.0,False,,,,64.97389205057247,False,increase
S06-U010,M1,S06,TEO,non-O,170.0,60.440838486829925,20.0,False,110.0,1.0,60.0,60.440838486829925,True,increase
S06-U011,M1,S06,V4,O+,190.0,53.85723229298585,0.0,False,,,,46.46686507795646,False,increase
S06-U012,M1,S06,V4,O+,230.0,44.81253468959463,20.0,False,130.0,-1.0,100.0,49.815987926179126,True,increase
S06-U013,M1,S06,V4,O+,210.0,158.23963005916693,20.0,False,90.0,-1.0,120.0,159.66228075455894,True,increase
S06-U014,M1,S06,V4,non-O,50.0,15.06784656146989,40.0,False,10.0,-1.0,40.0,71.0199971838918,False,decrease
S06-U015,M1,S06,TEO,O+,230.0,58.74521257089806,40.0,False,10.0,-1.0,220.0,63.13034135817736,True,increase
S06-U016,M1,S06,TEO,non-O,270.0,37.09242118946416,20.0,False,,,,10.0,False,increase
S06-U017,M1,S06,TEO,non-O,270.0,39.19103851647721,20.0,False,170.0,-1.0,100.0,40.13395161234638,True,increase
S06-U018,M1,S06,V4,non-O,250.0,43.44487020817123,20.0,False,10.0,-1.0,240.0,73.27898531353526,True,increase
S06-U019,M1,S06,V4,O+,170.0,29.87577586391816,0.0,False,70.0,-1.0,100.0,42.32960058140274,True,increase
S06-U020,M1,S06,TEO,O+,150.0,90.03942894883384,0.0,False,90.0,-1.0,60.0,102.45326071044369,True,increase
S06-U021,M1,S06,TEO,O+,130.0,96.60135116031628,0.0,False,,,,,False,increase
S06-U022,M1,S06,V4,O+,70.0,14.602739469017449,20.0,False,,,,73.21486643207558,False,increase
S06-U023,M1,S06,V4,O+,90.0,68.71160978000411,20.0,False,50.0,1.0,40.0,73.13208871128795,False,increase
S06-U024,M1,S06,V4,O+,190.0,13.868811045523955,40.0,False,,,,0.0,False,increase
S07-U001,M1,S07,V4,non-O,150.0,21.33564001370265,40.0,False,310.0,1.0,-160.0,83.46218412186998,True,increase
S07-U002,M1,S07,V4,non-O,70.0,13.220183154192132,0.0,False,70.0,-1.0,0.0,15.61842715461993,False,decrease
S07-U003,M1,S07,V3,O+,150.0,22.068982758613952,20.0,False,90.0,-1.0,60.0,22.068982758613952,True,increase
S07-U004,M1,S07,V4,O+,210.0,16.767928760077886,20.0,False,,,,61.40575434490376,False,increase
S07-U005,M1,S07,V3,O+,90.0,40.66398898288264,0.0,False,,,,37.74917217635375,False,increase
S07-U006,M1,S07,V3,O+,110.0,99.53525222747044,0.0,False,,,,187.48497882217288,False,increase
S07-U007,M1,S07,V4,O+,90.0,31.26943839882286,0.0,False,110.0,-1.0,-20.0,31.26943839882286,False,increase
S07-U008,M1,S07,V4,non-O,110.0,91.72559154029062,20.0,False,,,,,False,increase
S07-U009,M1,S07,V4,non-O,210.0,115.75432378769402,20.0,False,130.0,-1.0,80.0,155.06242314107593,True,increase
S07-U010,M1,S07,V4,O+,190.0,79.78014152873479,20.0,False,,,,91.28033066018163,False,increase
S07-U011,M1,S07,V4,O+,150.0,19.804097263723023,20.0,False,190.0,1.0,-40.0,24.633213858062515,False,increase
S07-U012,M1,S07,V4,O+,90.0,0.0,0.0,False,50.0,-1.0,40.0,25.869673364772105,False,increase
S07-U013,M1,S07,V4,non-O,50.0,9.927738916792686,20.0,False,50.0,-1.0,0.0,13.96424004376894,False,decrease
S07-U014,M1,S07,V4,non-O,230.0,46.09651710150006,20.0,False,,,,55.3210327693425,False,decrease
S08-U001,M2,S08,TEO,non-O,170.0,91.63608957478232,0.0,False,210.0,1.0,-40.0,107.4407929855795,False,increase
S08-U002,M2,S08,TEO,non-O,110.0,14.019386929411114,40.0,False,,,,16.63780661615406,False,increase
S08-U003,M2,S08,TEO,non-O,150.0,9.956863066102793,20.0,False,90.0,1.0,60.0,9.956863066102793,True,decrease
S09-U001,M2,S09,FEF,non-O,130.0,24.260817332021784,0.0,False,150.0,1.0,-20.0,24.62158041682585,False,increase
S09-U002,M2,S09,FEF,non-O,130.0,16.82839146755374,0.0,False,150.0,1.0,-20.0,83.71907965046356,False,increase
S09-U003,M2,S09,FEF,non-O,70.0,7.200930107909122,20.0,False,90.0,1.0,-20.0,10.122119810316116,False,increase
S09-U004,M2,S09,MT,non-O,130.0,151.65466296375098,40.0,False,150.0,1.0,-20.0,150.4663121401918,False,increase
S09-U005,M2,S09,TEO,non-O,370.0,34.86711280785313,20.0,False,210.0,1.0,160.0,80.32891369239347,True,decrease
S09-U006,M2,S09,TEO,non-O,110.0,96.60005894166068,40.0,False,,,,94.21493668006582,False,increase
S09-U007,M2,S09,TEO,non-O,130.0,77.22999339173022,40.0,False,,,,73.86474125047755,False,increase
S09-U008,M2,S09,TEO,non-O,110.0,35.482389998420345,0.0,False,50.0,1.0,60.0,35.566276161555045,True,increase
S10-U001,M2,S10,FEF,non-O,90.0,0.0,20.0,False,90.0,-1.0,0.0,0.0,False,decrease
S10-U002,M2,S10,V4,non-O,310.0,9.34984764881304,20.0,False,,,,33.05646066711823,False,decrease
S10-U003,M2,S10,V4,non-O,270.0,20.700464187869425,0.0,False,50.0,1.0,220.0,20.700464187869425,True,decrease
S10-U004,M2,S10,V4,non-O,290.0,7.876197450350677,0.0,False,,,,18.856180831641264,False,decrease
S11-U001,M2,S11,PFC,non-O,230.0,74.99949683846837,40.0,False,210.0,1.0,20.0,86.19166292641088,False,increase
S11-U002,M2,S11,FEF,O+,50.0,29.159224746409745,20.0,False,,,,40.237186058029856,False,increase
