"Session","Group","Count","O_plus","Prop"
"230629","lower_visual","1062","66","0.0621"
"230629","intermediate","330","10","0.0303"
"230630","higher_order","87","8","0.092"
"230630","intermediate","264","20","0.0758"
"230630","lower_visual","33","0","0"
"230630","unresolved","117","2","0.0171"
"230714","lower_visual","1269",,"0"
"230714","intermediate","498","0","0"
"230719","lower_visual","864","6","0.0069"
"230719","intermediate","381","6","0.0157"
"230720","lower_visual","543","2","0.0037"
"230720","intermediate","408","3","0.0074"
"230721","lower_visual","171","0","0"
"230721","intermediate","660","2","0.003"
"230816","higher_order","306","3","0.0098"
"230816","intermediate","342","4","0.0117"
"230816","unresolved","210","2","0.0095"
"230816","lower_visual","213","5","0.0235"
"230818","higher_order","576","28","0.0486"
"230818","intermediate","1047","27","0.0258"
"230823","higher_order","468","34","0.0726"
"230823","intermediate","57","0","0"
"230823","lower_visual","384","36","0.0938"
"230823","unresolved","195","10","0.0513"
"230825","higher_order","519","4","0.0077"
"230825","intermediate","954","38","0.0398"
"230830","higher_order","408",,"0"
"230830","intermediate","1539","0","0"
"230830","unresolved","201","6","0.0299"
"230830","lower_visual","174","9","0.0517"
"230831","higher_order","411","6","0.0146"
"230831","intermediate","1341","67","0.05"
