subject_public,session_public,area,n_units_eligible
M1,S01,MT,29
M1,S01,PFC,57
M1,S01,V1,34
M1,S01,V3,36
M1,S01,V4,23
M1,S02,FST,4
M1,S02,MST,47
M1,S02,MT,39
M1,S02,PFC,114
M1,S02,TEO,28
M1,S03,FEF,106
M1,S03,MT,3
M1,S03,V1,16
M1,S03,V2,44
M1,S03,V3,44
M1,S04,MST,23
M1,S04,MT,32
M1,S04,PFC,89
M1,S04,TEO,57
M1,S04,V4,45
M1,S05,MT,26
M1,S05,PFC,45
M1,S05,V1,28
M1,S05,V3,34
M1,S05,V4,38
M1,S06,FEF,58
M1,S06,MST,15
M1,S06,MT,39
M1,S06,TEO,71
M1,S06,V4,64
M1,S07,PFC,138
M1,S07,V3,38
M1,S07,V4,66
M2,S08,FEF,39
M2,S08,FST,7
M2,S08,MST,15
M2,S08,PFC,48
M2,S08,TEO,33
M2,S09,FEF,128
M2,S09,MT,16
M2,S09,TEO,76
M2,S10,FEF,66
M2,S10,TEO,15
M2,S10,V4,30
M2,S11,FEF,50
M2,S11,PFC,78
M2,S11,TEO,12
M2,S11,V4,60
M2,S12,FEF,10
M2,S12,MT,53
M2,S12,TEO,15
M2,S13,FEF,47
M2,S13,MT,49
M2,S13,PFC,109
M2,S14,FEF,5
M2,S14,MT,39
M2,S14,PFC,67
M2,S14,TEO,40
M2,S15,FEF,6
M2,S15,MT,76
M2,S15,PFC,140
M2,S15,TEO,8
M2,S16,FEF,13
M2,S16,MT,53
M2,S16,PFC,30
M2,S16,TEO,3
M2,S17,FEF,82
M2,S17,PFC,64
M2,S17,V3,16
M3,S18,V1,77
M3,S18,V2,105
M3,S18,V3a,28
M3,S18,V3d,40
M3,S19,V1,80
M3,S19,V2,134
M3,S19,V3a,15
M3,S19,V3d,19
M3,S20,V1,74
M3,S20,V2,57
M3,S20,V3a,15
M3,S20,V3d,33
M3,S21,V1,54
M3,S21,V2,45
M3,S21,V3a,4
M3,S21,V3d,64
M3,S22,V1,1
M3,S22,V2,21
M3,S22,V3a,48
M3,S22,V3d,88
