freq,band,cycle_ms,W_backward,W_forward,W_total,T_center_half,T_center_deriv,T_sustained,T_changepoint,S_intrinsic,sign
4.0,theta,250.0,535.0,224.0,759.0,-36.0,-296.0,-182.0,-39.0,257.0,-1.0
4.68,theta,213.67521367521368,562.0,194.0,756.0,-117.0,-350.0,-31.0,-27.0,323.0,-1.0
5.48,theta,182.4817518248175,575.0,180.0,755.0,-20.0,-113.0,-201.0,-19.0,182.0,-1.0
6.42,theta,155.76323987538942,568.0,72.0,640.0,40.0,-177.0,-24.0,-20.0,157.0,-1.0
7.52,theta,132.97872340425533,583.0,88.0,671.0,-21.0,-118.0,-2.0,10.0,128.0,-1.0
8.8,alpha,113.63636363636364,600.0,77.0,677.0,-38.0,-99.0,3.0,10.0,109.0,-1.0
10.3,alpha,97.08737864077668,572.0,66.0,638.0,-21.0,-41.0,-44.0,4.0,48.0,-1.0
12.06,alpha,82.91873963515754,580.0,83.0,663.0,-28.0,-42.0,-11.0,-2.0,40.0,-1.0
14.12,beta,70.8215297450425,356.0,68.0,424.0,-7.0,-7.0,-78.0,-7.0,71.0,-1.0
16.53,beta,60.49606775559588,600.0,60.0,660.0,-3.0,2.0,-38.0,-3.0,40.0,-1.0
19.36,beta,51.65289256198347,228.0,54.0,282.0,-2.0,-12.0,-52.0,-1.0,51.0,-1.0
22.66,beta,44.1306266548985,50.0,45.0,95.0,-5.0,-1.0,-56.0,-5.0,55.0,-1.0
26.53,beta,37.69317753486619,42.0,39.0,81.0,-4.0,-5.0,-49.0,-3.0,46.0,-1.0
31.06,low_gamma,32.195750160978754,35.0,34.0,69.0,-3.0,-7.0,-41.0,-2.0,39.0,-1.0
36.37,low_gamma,27.495188342040144,29.0,29.0,58.0,-2.0,-1.0,-32.0,-1.0,31.0,-1.0
42.58,low_gamma,23.4852043212776,28.0,26.0,54.0,-3.0,-5.0,-31.0,-2.0,29.0,-1.0
49.85,low_gamma,20.06018054162488,24.0,23.0,47.0,-2.0,-3.0,-28.0,-2.0,26.0,-1.0
58.36,high_gamma,17.135023989033584,21.0,20.0,41.0,-2.0,-2.0,-25.0,-1.0,24.0,-1.0
68.33,high_gamma,14.634860237084736,18.0,18.0,36.0,-1.0,-2.0,-22.0,-1.0,21.0,-1.0
80.0,out_of_band,12.5,17.0,16.0,33.0,-1.0,-2.0,-21.0,-1.0,20.0,-1.0
