subject_public,session_public,n_low_cells,n_high_cells,res_low,res_high,r_low_pct,r_high_pct,D_s_pct
M1,S01,40,55,0,4,0.0,7.27,7.27
M1,S02,40,55,0,11,0.0,20.0,20.0
M1,S03,48,66,2,18,4.17,27.27,23.11
M1,S04,40,55,0,6,0.0,10.91,10.91
M1,S05,40,55,0,4,0.0,7.27,7.27
M1,S06,40,55,2,5,5.0,9.09,4.09
M1,S07,40,55,0,6,0.0,10.91,10.91
M2,S08,40,55,0,8,0.0,14.55,14.55
M2,S09,24,33,0,4,0.0,12.12,12.12
M2,S10,24,33,0,0,0.0,0.0,0.0
M2,S11,32,44,0,1,0.0,2.27,2.27
M2,S12,32,44,0,5,0.0,11.36,11.36
M2,S13,32,44,0,2,0.0,4.55,4.55
M2,S14,32,44,0,1,0.0,2.27,2.27
M2,S15,32,44,0,0,0.0,0.0,0.0
M2,S16,32,44,0,4,0.0,9.09,9.09
M2,S17,24,33,0,2,0.0,6.06,6.06
M3,S19,32,44,0,12,0.0,27.27,27.27
M3,S20,40,55,3,3,7.5,5.45,-2.05
M3,S21,32,44,0,0,0.0,0.0,0.0
M3,S22,32,44,1,0,3.12,0.0,-3.12
