subject_public,session_public,n_up,n_down,median_up,median_down,D_s_signtiming,eligible_signtiming,n_units_with_dT,median_dT,frac_dT_pos,D_s_dT,eligible_dT
M1,S01,6,8,200.0,60.0,140.0,True,13.0,20.0,0.5384615384615384,20.0,True
M1,S02,11,14,150.0,220.0,-70.0,True,21.0,100.0,0.8571428571428571,100.0,True
M1,S03,5,3,190.0,130.0,60.0,True,4.0,10.0,0.5,10.0,True
M1,S04,18,8,130.0,190.0,-60.0,True,18.0,60.0,0.7222222222222222,60.0,True
M1,S05,2,4,60.0,40.0,,False,6.0,-10.0,0.3333333333333333,-10.0,True
M1,S06,18,6,170.0,250.0,-80.0,True,18.0,100.0,0.9444444444444444,100.0,True
M1,S07,11,3,150.0,70.0,80.0,True,8.0,0.0,0.375,0.0,True
M2,S08,2,1,140.0,150.0,,False,2.0,10.0,0.5,,False
M2,S09,7,1,130.0,370.0,,False,6.0,-20.0,0.3333333333333333,-20.0,True
M2,S10,0,4,,280.0,,False,2.0,110.0,0.5,,False
M2,S11,3,13,130.0,270.0,-140.0,True,9.0,160.0,1.0,160.0,True
M2,S15,0,2,,220.0,,False,2.0,70.0,1.0,,False
M2,S16,1,5,90.0,70.0,,False,4.0,-30.0,0.5,-30.0,True
M2,S17,0,1,,70.0,,False,,,,,
M3,S19,2,24,310.0,250.0,,False,23.0,200.0,1.0,200.0,True
M3,S20,0,1,,250.0,,False,,,,,
M3,S21,0,1,,70.0,,False,1.0,0.0,0.0,,False
M3,S22,0,2,,180.0,,False,2.0,100.0,1.0,,False
