session_id,condition,family,omission_position,matched_control,n_files,signal_classes_detected,source_basenames,warnings,truth_status
230629,AAAB,A-family,None,AAAB,4,"LFP,SPK","ses230629-probe0-lfp-AAAB.npy,ses230629-probe1-lfp-AAAB.npy,ses230629-units-probe0-spk-AAAB.npy,ses230629-units-probe1-spk-AAAB.npy",None,truth_safe_unverified
230629,AAAX,A-family,p4,AAAB,4,"LFP,SPK","ses230629-probe0-lfp-AAAX.npy,ses230629-probe1-lfp-AAAX.npy,ses230629-units-probe0-spk-AAAX.npy,ses230629-units-probe1-spk-AAAX.npy",None,truth_safe_unverified
230629,AAXB,A-family,p3,AAAB,4,"LFP,SPK","ses230629-probe0-lfp-AAXB.npy,ses230629-probe1-lfp-AAXB.npy,ses230629-units-probe0-spk-AAXB.npy,ses230629-units-probe1-spk-AAXB.npy",None,truth_safe_unverified
230629,AXAB,A-family,p2,AAAB,4,"LFP,SPK","ses230629-probe0-lfp-AXAB.npy,ses230629-probe1-lfp-AXAB.npy,ses230629-units-probe0-spk-AXAB.npy,ses230629-units-probe1-spk-AXAB.npy",None,truth_safe_unverified
230629,BBBA,B-family,None,BBBA,4,"LFP,SPK","ses230629-probe0-lfp-BBBA.npy,ses230629-probe1-lfp-BBBA.npy,ses230629-units-probe0-spk-BBBA.npy,ses230629-units-probe1-spk-BBBA.npy",None,truth_safe_unverified
230629,BBBX,B-family,p4,BBBA,4,"LFP,SPK","ses230629-probe0-lfp-BBBX.npy,ses230629-probe1-lfp-BBBX.npy,ses230629-units-probe0-spk-BBBX.npy,ses230629-units-probe1-spk-BBBX.npy",None,truth_safe_unverified
230629,BBXA,B-family,p3,BBBA,4,"LFP,SPK","ses230629-probe0-lfp-BBXA.npy,ses230629-probe1-lfp-BBXA.npy,ses230629-units-probe0-spk-BBXA.npy,ses230629-units-probe1-spk-BBXA.npy",None,truth_safe_unverified
230629,BXBA,B-family,p2,BBBA,4,"LFP,SPK","ses230629-probe0-lfp-BXBA.npy,ses230629-probe1-lfp-BXBA.npy,ses230629-units-probe0-spk-BXBA.npy,ses230629-units-probe1-spk-BXBA.npy",None,truth_safe_unverified
230629,RRRR,R-family,None,RRRR,4,"LFP,SPK","ses230629-probe0-lfp-RRRR.npy,ses230629-probe1-lfp-RRRR.npy,ses230629-units-probe0-spk-RRRR.npy,ses230629-units-probe1-spk-RRRR.npy",None,truth_safe_unverified
230629,RRRX,R-family,p4,RRRR,4,"LFP,SPK","ses230629-probe0-lfp-RRRX.npy,ses230629-probe1-lfp-RRRX.npy,ses230629-units-probe0-spk-RRRX.npy,ses230629-units-probe1-spk-RRRX.npy",None,truth_safe_unverified
230629,RRXR,R-family,p3,RRRR,4,"LFP,SPK","ses230629-probe0-lfp-RRXR.npy,ses230629-probe1-lfp-RRXR.npy,ses230629-units-probe0-spk-RRXR.npy,ses230629-units-probe1-spk-RRXR.npy",None,truth_safe_unverified
230629,RXRR,R-family,p2,RRRR,4,"LFP,SPK","ses230629-probe0-lfp-RXRR.npy,ses230629-probe1-lfp-RXRR.npy,ses230629-units-probe0-spk-RXRR.npy,ses230629-units-probe1-spk-RXRR.npy",None,truth_safe_unverified
230630,AAAB,A-family,None,AAAB,6,"LFP,SPK","ses230630-probe0-lfp-AAAB.npy,ses230630-probe1-lfp-AAAB.npy,ses230630-probe2-lfp-AAAB.npy,ses230630-units-probe0-spk-AAAB.npy,ses230630-units-probe1-spk-AAAB.npy,ses230630-units-probe2-spk-AAAB.npy",None,truth_safe_unverified
230630,AAAX,A-family,p4,AAAB,6,"LFP,SPK","ses230630-probe0-lfp-AAAX.npy,ses230630-probe1-lfp-AAAX.npy,ses230630-probe2-lfp-AAAX.npy,ses230630-units-probe0-spk-AAAX.npy,ses230630-units-probe1-spk-AAAX.npy,ses230630-units-probe2-spk-AAAX.npy",None,truth_safe_unverified
230630,AAXB,A-family,p3,AAAB,6,"LFP,SPK","ses230630-probe0-lfp-AAXB.npy,ses230630-probe1-lfp-AAXB.npy,ses230630-probe2-lfp-AAXB.npy,ses230630-units-probe0-spk-AAXB.npy,ses230630-units-probe1-spk-AAXB.npy,ses230630-units-probe2-spk-AAXB.npy",None,truth_safe_unverified
230630,AXAB,A-family,p2,AAAB,6,"LFP,SPK","ses230630-probe0-lfp-AXAB.npy,ses230630-probe1-lfp-AXAB.npy,ses230630-probe2-lfp-AXAB.npy,ses230630-units-probe0-spk-AXAB.npy,ses230630-units-probe1-spk-AXAB.npy,ses230630-units-probe2-spk-AXAB.npy",None,truth_safe_unverified
230630,BBBA,B-family,None,BBBA,6,"LFP,SPK","ses230630-probe0-lfp-BBBA.npy,ses230630-probe1-lfp-BBBA.npy,ses230630-probe2-lfp-BBBA.npy,ses230630-units-probe0-spk-BBBA.npy,ses230630-units-probe1-spk-BBBA.npy,ses230630-units-probe2-spk-BBBA.npy",None,truth_safe_unverified
230630,BBBX,B-family,p4,BBBA,6,"LFP,SPK","ses230630-probe0-lfp-BBBX.npy,ses230630-probe1-lfp-BBBX.npy,ses230630-probe2-lfp-BBBX.npy,ses230630-units-probe0-spk-BBBX.npy,ses230630-units-probe1-spk-BBBX.npy,ses230630-units-probe2-spk-BBBX.npy",None,truth_safe_unverified
230630,BBXA,B-family,p3,BBBA,6,"LFP,SPK","ses230630-probe0-lfp-BBXA.npy,ses230630-probe1-lfp-BBXA.npy,ses230630-probe2-lfp-BBXA.npy,ses230630-units-probe0-spk-BBXA.npy,ses230630-units-probe1-spk-BBXA.npy,ses230630-units-probe2-spk-BBXA.npy",None,truth_safe_unverified
