session_id,signal_class,n_files,n_conditions_with_signal,conditions_with_signal,n_shape_inspected,expected_rank3_count,blocked_count,availability_status,readiness_for_A6,warnings,truth_status
230629,SPK,24,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",24,24,0,complete,yes,None,truth_safe_unverified
230629,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230629,LFP,37,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,1,complete,yes,None,truth_safe_unverified
230630,SPK,36,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,0,complete,yes,None,truth_safe_unverified
230630,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230630,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
230714,SPK,24,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",24,24,0,complete,yes,None,truth_safe_unverified
230714,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230714,LFP,37,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,1,complete,yes,None,truth_safe_unverified
230719,SPK,24,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",24,24,0,complete,yes,None,truth_safe_unverified
230719,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230719,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
230720,SPK,24,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",24,24,0,complete,yes,None,truth_safe_unverified
230720,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230720,LFP,37,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,1,complete,yes,None,truth_safe_unverified
230721,SPK,24,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",24,24,0,complete,yes,None,truth_safe_unverified
230721,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230721,LFP,37,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,1,complete,yes,None,truth_safe_unverified
230816,SPK,36,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,0,complete,yes,None,truth_safe_unverified
230816,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230816,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
230818,SPK,36,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,0,complete,yes,None,truth_safe_unverified
230818,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230818,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
230823,SPK,36,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,0,complete,yes,None,truth_safe_unverified
230823,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230823,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
230825,SPK,36,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,0,complete,yes,None,truth_safe_unverified
230825,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230825,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
230830,SPK,36,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,0,complete,yes,None,truth_safe_unverified
230830,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230830,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
230831,SPK,36,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",36,36,0,complete,yes,None,truth_safe_unverified
230831,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230831,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
230901,SPK,24,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",24,24,0,complete,yes,None,truth_safe_unverified
230901,MUAe,0,0,None,0,0,0,missing,no,None,truth_safe_unverified
230901,LFP,49,12,"AAAB,AAAX,AAXB,AXAB,BBBA,BBBX,BBXA,BXBA,RRRR,RRRX,RRXR,RXRR",48,48,1,complete,yes,None,truth_safe_unverified
