session_id,basename,extension,signal_class_inferred,condition_inferred,size_bytes,shape,ndim,dtype,expected_dims,shape_status,payload_read,semantic_status,warnings,truth_status
230629,lfp_by_area_ses-230629.h5,.h5,LFP,None,3019862,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230630,lfp_by_area_ses-230630.h5,.h5,LFP,None,4699657,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230714,lfp_by_area_ses-230714.h5,.h5,LFP,None,10739330,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230719,lfp_by_area_ses-230719.h5,.h5,LFP,None,17441715,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230720,lfp_by_area_ses-230720.h5,.h5,LFP,None,11632344,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230721,lfp_by_area_ses-230721.h5,.h5,LFP,None,11070796,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230816,lfp_by_area_ses-230816.h5,.h5,LFP,None,13490290,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230818,lfp_by_area_ses-230818.h5,.h5,LFP,None,16902651,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230823,lfp_by_area_ses-230823.h5,.h5,LFP,None,17068984,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230825,lfp_by_area_ses-230825.h5,.h5,LFP,None,16808101,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230830,lfp_by_area_ses-230830.h5,.h5,LFP,None,16189155,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230831,lfp_by_area_ses-230831.h5,.h5,LFP,None,16750701,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230901,lfp_by_area_ses-230901.h5,.h5,LFP,None,17108086,blocked_no_payload_read,,,"trial, channel, time",blocked,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-AAAB.npy,.npy,LFP,AAAB,147456128,"(48, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-AAAX.npy,.npy,LFP,AAAX,3072128,"(1, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-AAXB.npy,.npy,LFP,AAXB,15360128,"(5, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-AXAB.npy,.npy,LFP,AXAB,18432128,"(6, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-BBBA.npy,.npy,LFP,BBBA,153600128,"(50, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-BBBX.npy,.npy,LFP,BBBX,6144128,"(2, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-BBXA.npy,.npy,LFP,BBXA,9216128,"(3, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-BXBA.npy,.npy,LFP,BXBA,15360128,"(5, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-RRRR.npy,.npy,LFP,RRRR,258048128,"(84, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-RRRX.npy,.npy,LFP,RRRX,18432128,"(6, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-RRXR.npy,.npy,LFP,RRXR,6144128,"(2, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe0-lfp-RXRR.npy,.npy,LFP,RXRR,24576128,"(8, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-AAAB.npy,.npy,LFP,AAAB,147456128,"(48, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-AAAX.npy,.npy,LFP,AAAX,3072128,"(1, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-AAXB.npy,.npy,LFP,AAXB,15360128,"(5, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-AXAB.npy,.npy,LFP,AXAB,18432128,"(6, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-BBBA.npy,.npy,LFP,BBBA,153600128,"(50, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-BBBX.npy,.npy,LFP,BBBX,6144128,"(2, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-BBXA.npy,.npy,LFP,BBXA,9216128,"(3, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-BXBA.npy,.npy,LFP,BXBA,15360128,"(5, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-RRRR.npy,.npy,LFP,RRRR,258048128,"(84, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-RRRX.npy,.npy,LFP,RRRX,18432128,"(6, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-RRXR.npy,.npy,LFP,RRXR,6144128,"(2, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-probe1-lfp-RXRR.npy,.npy,LFP,RXRR,24576128,"(8, 128, 6000)",3,float32,"trial, channel, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-AAAB.npy,.npy,SPK,AAAB,101952128,"(48, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-AAAX.npy,.npy,SPK,AAAX,2124128,"(1, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-AAXB.npy,.npy,SPK,AAXB,10620128,"(5, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-AXAB.npy,.npy,SPK,AXAB,12744128,"(6, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-BBBA.npy,.npy,SPK,BBBA,106200128,"(50, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-BBBX.npy,.npy,SPK,BBBX,4248128,"(2, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-BBXA.npy,.npy,SPK,BBXA,6372128,"(3, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-BXBA.npy,.npy,SPK,BXBA,10620128,"(5, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-RRRR.npy,.npy,SPK,RRRR,178416128,"(84, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-RRRX.npy,.npy,SPK,RRRX,12744128,"(6, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
230629,ses230629-units-probe0-spk-RRXR.npy,.npy,SPK,RRXR,4248128,"(2, 354, 6000)",3,uint8,"trial, unit, time",expected_rank3,False,valid,None,truth_safe_unverified
