session_id,probe_id,raw_area_label,canonical_area_label,area_group,alias_applied,area_resolution_status,source_file,warnings
230629,0,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230629,0,V2,V2,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230629,1,V3d,V3d,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230629,1,V3a,V3a,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230630,0,PFC,PFC,Frontal,no,metadata_resolved_channel,session-area-mapping.md,None
230630,1,V4,V4,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230630,1,MT,MT,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230630,2,V3,V3,Visual,no,unresolved_generic_v3,session-area-mapping.md,None
230630,2,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230714,0,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230714,0,V2,V2,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230714,1,V3d,V3d,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230714,1,V3a,V3a,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230719,0,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230719,0,V2,V2,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230719,1,DP (V4),V4,Visual,yes,metadata_resolved_channel,session-area-mapping.md,None
230719,2,V3d,V3d,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230719,2,V3a,V3a,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230720,0,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230720,0,V2,V2,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230720,1,V3d,V3d,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230720,1,V3a,V3a,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230721,0,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230721,0,V2,V2,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230721,1,V3d,V3d,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230721,1,V3a,V3a,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230816,0,PFC,PFC,Frontal,no,metadata_resolved_channel,session-area-mapping.md,None
230816,1,V4,V4,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230816,1,MT,MT,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230816,2,V3,V3,Visual,no,unresolved_generic_v3,session-area-mapping.md,None
230816,2,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230818,0,PFC,PFC,Frontal,no,metadata_resolved_channel,session-area-mapping.md,None
230818,1,TEO,TEO,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230818,1,FST,FST,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230818,2,MT,MT,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230818,2,MST,MST,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230823,0,FEF,FEF,Frontal,no,metadata_resolved_channel,session-area-mapping.md,None
230823,1,MT,MT,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230823,1,MST,MST,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230823,2,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230823,2,V2,V2,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230823,2,V3,V3,Visual,no,unresolved_generic_v3,session-area-mapping.md,None
230825,0,PFC,PFC,Frontal,no,metadata_resolved_channel,session-area-mapping.md,None
230825,1,MT,MT,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230825,1,MST,MST,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230825,2,V4,V4,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230825,2,TEO,TEO,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230830,0,PFC,PFC,Frontal,no,metadata_resolved_channel,session-area-mapping.md,None
230830,1,V4,V4,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230830,1,MT,MT,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230830,2,V1,V1,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230830,2,V3,V3,Visual,no,unresolved_generic_v3,session-area-mapping.md,None
230831,0,FEF,FEF,Frontal,no,metadata_resolved_channel,session-area-mapping.md,None
230831,1,MT,MT,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230831,1,MST,MST,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230831,2,V4,V4,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230831,2,TEO,TEO,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230901,0,PFC,PFC,Frontal,no,metadata_resolved_channel,session-area-mapping.md,None
230901,1,MT,MT,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
230901,1,MST,MST,Visual,no,metadata_resolved_equal_segment,session-area-mapping.md,None
