session_id,condition,family,omission_slot,is_omission,matched_control,n_trials,n_units,source_file,included_in_smoke,warnings
230629,AAAB,A-family,None,false,AAAB,48,354,ses230629-units-probe0-spk-AAAB.npy,true,None
230629,AAAX,A-family,p4,true,AAAB,1,354,ses230629-units-probe0-spk-AAAX.npy,true,None
230629,AAXB,A-family,p3,true,AAAB,5,354,ses230629-units-probe0-spk-AAXB.npy,true,None
230629,AXAB,A-family,p2,true,AAAB,6,354,ses230629-units-probe0-spk-AXAB.npy,true,None
230629,BBBA,B-family,None,false,BBBA,50,354,ses230629-units-probe0-spk-BBBA.npy,true,None
230629,BBBX,B-family,p4,true,BBBA,2,354,ses230629-units-probe0-spk-BBBX.npy,true,None
230629,BBXA,B-family,p3,true,BBBA,3,354,ses230629-units-probe0-spk-BBXA.npy,true,None
230629,BXBA,B-family,p2,true,BBBA,5,354,ses230629-units-probe0-spk-BXBA.npy,true,None
230629,RRRR,R-family,None,false,RRRR,84,354,ses230629-units-probe0-spk-RRRR.npy,true,None
230629,RRRX,R-family,p4,true,RRRR,6,354,ses230629-units-probe0-spk-RRRX.npy,true,None
230629,RRXR,R-family,p3,true,RRRR,2,354,ses230629-units-probe0-spk-RRXR.npy,true,None
230629,RXRR,R-family,p2,true,RRRR,8,354,ses230629-units-probe0-spk-RXRR.npy,true,None
230629,AAAB,A-family,None,false,AAAB,48,110,ses230629-units-probe1-spk-AAAB.npy,true,None
230629,AAAX,A-family,p4,true,AAAB,1,110,ses230629-units-probe1-spk-AAAX.npy,true,None
230629,AAXB,A-family,p3,true,AAAB,5,110,ses230629-units-probe1-spk-AAXB.npy,true,None
230629,AXAB,A-family,p2,true,AAAB,6,110,ses230629-units-probe1-spk-AXAB.npy,true,None
230629,BBBA,B-family,None,false,BBBA,50,110,ses230629-units-probe1-spk-BBBA.npy,true,None
230629,BBBX,B-family,p4,true,BBBA,2,110,ses230629-units-probe1-spk-BBBX.npy,true,None
230629,BBXA,B-family,p3,true,BBBA,3,110,ses230629-units-probe1-spk-BBXA.npy,true,None
230629,BXBA,B-family,p2,true,BBBA,5,110,ses230629-units-probe1-spk-BXBA.npy,true,None
230629,RRRR,R-family,None,false,RRRR,84,110,ses230629-units-probe1-spk-RRRR.npy,true,None
230629,RRRX,R-family,p4,true,RRRR,6,110,ses230629-units-probe1-spk-RRRX.npy,true,None
230629,RRXR,R-family,p3,true,RRRR,2,110,ses230629-units-probe1-spk-RRXR.npy,true,None
230629,RXRR,R-family,p2,true,RRRR,8,110,ses230629-units-probe1-spk-RXRR.npy,true,None
230630,AAAB,A-family,None,false,AAAB,44,29,ses230630-units-probe0-spk-AAAB.npy,true,None
230630,AAAX,A-family,p4,true,AAAB,3,29,ses230630-units-probe0-spk-AAAX.npy,true,None
230630,AAXB,A-family,p3,true,AAAB,6,29,ses230630-units-probe0-spk-AAXB.npy,true,None
230630,AXAB,A-family,p2,true,AAAB,7,29,ses230630-units-probe0-spk-AXAB.npy,true,None
230630,BBBA,B-family,None,false,BBBA,39,29,ses230630-units-probe0-spk-BBBA.npy,true,None
230630,BBBX,B-family,p4,true,BBBA,8,29,ses230630-units-probe0-spk-BBBX.npy,true,None
230630,BBXA,B-family,p3,true,BBBA,7,29,ses230630-units-probe0-spk-BBXA.npy,true,None
230630,BXBA,B-family,p2,true,BBBA,6,29,ses230630-units-probe0-spk-BXBA.npy,true,None
230630,RRRR,R-family,None,false,RRRR,82,29,ses230630-units-probe0-spk-RRRR.npy,true,None
230630,RRRX,R-family,p4,true,RRRR,9,29,ses230630-units-probe0-spk-RRRX.npy,true,None
230630,RRXR,R-family,p3,true,RRRR,2,29,ses230630-units-probe0-spk-RRXR.npy,true,None
230630,RXRR,R-family,p2,true,RRRR,7,29,ses230630-units-probe0-spk-RXRR.npy,true,None
230630,AAAB,A-family,None,false,AAAB,44,88,ses230630-units-probe1-spk-AAAB.npy,true,None
230630,AAAX,A-family,p4,true,AAAB,3,88,ses230630-units-probe1-spk-AAAX.npy,true,None
230630,AAXB,A-family,p3,true,AAAB,6,88,ses230630-units-probe1-spk-AAXB.npy,true,None
230630,AXAB,A-family,p2,true,AAAB,7,88,ses230630-units-probe1-spk-AXAB.npy,true,None
230630,BBBA,B-family,None,false,BBBA,39,88,ses230630-units-probe1-spk-BBBA.npy,true,None
230630,BBBX,B-family,p4,true,BBBA,8,88,ses230630-units-probe1-spk-BBBX.npy,true,None
230630,BBXA,B-family,p3,true,BBBA,7,88,ses230630-units-probe1-spk-BBXA.npy,true,None
230630,BXBA,B-family,p2,true,BBBA,6,88,ses230630-units-probe1-spk-BXBA.npy,true,None
230630,RRRR,R-family,None,false,RRRR,82,88,ses230630-units-probe1-spk-RRRR.npy,true,None
230630,RRRX,R-family,p4,true,RRRR,9,88,ses230630-units-probe1-spk-RRRX.npy,true,None
230630,RRXR,R-family,p3,true,RRRR,2,88,ses230630-units-probe1-spk-RRXR.npy,true,None
230630,RXRR,R-family,p2,true,RRRR,7,88,ses230630-units-probe1-spk-RXRR.npy,true,None
230630,AAAB,A-family,None,false,AAAB,44,50,ses230630-units-probe2-spk-AAAB.npy,true,None
230630,AAAX,A-family,p4,true,AAAB,3,50,ses230630-units-probe2-spk-AAAX.npy,true,None
230630,AAXB,A-family,p3,true,AAAB,6,50,ses230630-units-probe2-spk-AAXB.npy,true,None
230630,AXAB,A-family,p2,true,AAAB,7,50,ses230630-units-probe2-spk-AXAB.npy,true,None
230630,BBBA,B-family,None,false,BBBA,39,50,ses230630-units-probe2-spk-BBBA.npy,true,None
230630,BBBX,B-family,p4,true,BBBA,8,50,ses230630-units-probe2-spk-BBBX.npy,true,None
230630,BBXA,B-family,p3,true,BBBA,7,50,ses230630-units-probe2-spk-BBXA.npy,true,None
230630,BXBA,B-family,p2,true,BBBA,6,50,ses230630-units-probe2-spk-BXBA.npy,true,None
230630,RRRR,R-family,None,false,RRRR,82,50,ses230630-units-probe2-spk-RRRR.npy,true,None
230630,RRRX,R-family,p4,true,RRRR,9,50,ses230630-units-probe2-spk-RRRX.npy,true,None
230630,RRXR,R-family,p3,true,RRRR,2,50,ses230630-units-probe2-spk-RRXR.npy,true,None
230630,RXRR,R-family,p2,true,RRRR,7,50,ses230630-units-probe2-spk-RXRR.npy,true,None
230714,AAAB,A-family,None,false,AAAB,221,423,ses230714-units-probe0-spk-AAAB.npy,true,None
230714,AAAX,A-family,p4,true,AAAB,38,423,ses230714-units-probe0-spk-AAAX.npy,true,None
230714,AAXB,A-family,p3,true,AAAB,33,423,ses230714-units-probe0-spk-AAXB.npy,true,None
230714,AXAB,A-family,p2,true,AAAB,38,423,ses230714-units-probe0-spk-AXAB.npy,true,None
230714,BBBA,B-family,None,false,BBBA,239,423,ses230714-units-probe0-spk-BBBA.npy,true,None
230714,BBBX,B-family,p4,true,BBBA,33,423,ses230714-units-probe0-spk-BBBX.npy,true,None
230714,BBXA,B-family,p3,true,BBBA,35,423,ses230714-units-probe0-spk-BBXA.npy,true,None
230714,BXBA,B-family,p2,true,BBBA,23,423,ses230714-units-probe0-spk-BXBA.npy,true,None
230714,RRRR,R-family,None,false,RRRR,155,423,ses230714-units-probe0-spk-RRRR.npy,true,None
230714,RRRX,R-family,p4,true,RRRR,73,423,ses230714-units-probe0-spk-RRRX.npy,true,None
230714,RRXR,R-family,p3,true,RRRR,28,423,ses230714-units-probe0-spk-RRXR.npy,true,None
230714,RXRR,R-family,p2,true,RRRR,44,423,ses230714-units-probe0-spk-RXRR.npy,true,None
230714,AAAB,A-family,None,false,AAAB,221,166,ses230714-units-probe1-spk-AAAB.npy,true,None
230714,AAAX,A-family,p4,true,AAAB,38,166,ses230714-units-probe1-spk-AAAX.npy,true,None
230714,AAXB,A-family,p3,true,AAAB,33,166,ses230714-units-probe1-spk-AAXB.npy,true,None
230714,AXAB,A-family,p2,true,AAAB,38,166,ses230714-units-probe1-spk-AXAB.npy,true,None
230714,BBBA,B-family,None,false,BBBA,239,166,ses230714-units-probe1-spk-BBBA.npy,true,None
230714,BBBX,B-family,p4,true,BBBA,33,166,ses230714-units-probe1-spk-BBBX.npy,true,None
230714,BBXA,B-family,p3,true,BBBA,35,166,ses230714-units-probe1-spk-BBXA.npy,true,None
230714,BXBA,B-family,p2,true,BBBA,23,166,ses230714-units-probe1-spk-BXBA.npy,true,None
230714,RRRR,R-family,None,false,RRRR,155,166,ses230714-units-probe1-spk-RRRR.npy,true,None
230714,RRRX,R-family,p4,true,RRRR,73,166,ses230714-units-probe1-spk-RRRX.npy,true,None
230714,RRXR,R-family,p3,true,RRRR,28,166,ses230714-units-probe1-spk-RRXR.npy,true,None
230714,RXRR,R-family,p2,true,RRRR,44,166,ses230714-units-probe1-spk-RXRR.npy,true,None
230719,AAAB,A-family,None,false,AAAB,238,288,ses230719-units-probe0-spk-AAAB.npy,true,None
230719,AAAX,A-family,p4,true,AAAB,31,288,ses230719-units-probe0-spk-AAAX.npy,true,None
230719,AAXB,A-family,p3,true,AAAB,35,288,ses230719-units-probe0-spk-AAXB.npy,true,None
230719,AXAB,A-family,p2,true,AAAB,26,288,ses230719-units-probe0-spk-AXAB.npy,true,None
230719,BBBA,B-family,None,false,BBBA,232,288,ses230719-units-probe0-spk-BBBA.npy,true,None
230719,BBBX,B-family,p4,true,BBBA,35,288,ses230719-units-probe0-spk-BBBX.npy,true,None
230719,BBXA,B-family,p3,true,BBBA,30,288,ses230719-units-probe0-spk-BBXA.npy,true,None
230719,BXBA,B-family,p2,true,BBBA,33,288,ses230719-units-probe0-spk-BXBA.npy,true,None
230719,RRRR,R-family,None,false,RRRR,136,288,ses230719-units-probe0-spk-RRRR.npy,true,None
230719,RRRX,R-family,p4,true,RRRR,90,288,ses230719-units-probe0-spk-RRRX.npy,true,None
230719,RRXR,R-family,p3,true,RRRR,17,288,ses230719-units-probe0-spk-RRXR.npy,true,None
230719,RXRR,R-family,p2,true,RRRR,57,288,ses230719-units-probe0-spk-RXRR.npy,true,None
230719,AAAB,A-family,None,false,AAAB,238,127,ses230719-units-probe2-spk-AAAB.npy,true,None
230719,AAAX,A-family,p4,true,AAAB,31,127,ses230719-units-probe2-spk-AAAX.npy,true,None
230719,AAXB,A-family,p3,true,AAAB,35,127,ses230719-units-probe2-spk-AAXB.npy,true,None
230719,AXAB,A-family,p2,true,AAAB,26,127,ses230719-units-probe2-spk-AXAB.npy,true,None
230719,BBBA,B-family,None,false,BBBA,232,127,ses230719-units-probe2-spk-BBBA.npy,true,None
230719,BBBX,B-family,p4,true,BBBA,35,127,ses230719-units-probe2-spk-BBBX.npy,true,None
230719,BBXA,B-family,p3,true,BBBA,30,127,ses230719-units-probe2-spk-BBXA.npy,true,None
230719,BXBA,B-family,p2,true,BBBA,33,127,ses230719-units-probe2-spk-BXBA.npy,true,None
230719,RRRR,R-family,None,false,RRRR,136,127,ses230719-units-probe2-spk-RRRR.npy,true,None
230719,RRRX,R-family,p4,true,RRRR,90,127,ses230719-units-probe2-spk-RRRX.npy,true,None
230719,RRXR,R-family,p3,true,RRRR,17,127,ses230719-units-probe2-spk-RRXR.npy,true,None
230719,RXRR,R-family,p2,true,RRRR,57,127,ses230719-units-probe2-spk-RXRR.npy,true,None
230720,AAAB,A-family,None,false,AAAB,240,181,ses230720-units-probe0-spk-AAAB.npy,true,None
230720,AAAX,A-family,p4,true,AAAB,30,181,ses230720-units-probe0-spk-AAAX.npy,true,None
230720,AAXB,A-family,p3,true,AAAB,30,181,ses230720-units-probe0-spk-AAXB.npy,true,None
230720,AXAB,A-family,p2,true,AAAB,30,181,ses230720-units-probe0-spk-AXAB.npy,true,None
230720,BBBA,B-family,None,false,BBBA,225,181,ses230720-units-probe0-spk-BBBA.npy,true,None
230720,BBBX,B-family,p4,true,BBBA,32,181,ses230720-units-probe0-spk-BBBX.npy,true,None
230720,BBXA,B-family,p3,true,BBBA,39,181,ses230720-units-probe0-spk-BBXA.npy,true,None
230720,BXBA,B-family,p2,true,BBBA,34,181,ses230720-units-probe0-spk-BXBA.npy,true,None
230720,RRRR,R-family,None,false,RRRR,139,181,ses230720-units-probe0-spk-RRRR.npy,true,None
230720,RRRX,R-family,p4,true,RRRR,87,181,ses230720-units-probe0-spk-RRRX.npy,true,None
230720,RRXR,R-family,p3,true,RRRR,38,181,ses230720-units-probe0-spk-RRXR.npy,true,None
230720,RXRR,R-family,p2,true,RRRR,36,181,ses230720-units-probe0-spk-RXRR.npy,true,None
230720,AAAB,A-family,None,false,AAAB,240,136,ses230720-units-probe1-spk-AAAB.npy,true,None
230720,AAAX,A-family,p4,true,AAAB,30,136,ses230720-units-probe1-spk-AAAX.npy,true,None
230720,AAXB,A-family,p3,true,AAAB,30,136,ses230720-units-probe1-spk-AAXB.npy,true,None
230720,AXAB,A-family,p2,true,AAAB,30,136,ses230720-units-probe1-spk-AXAB.npy,true,None
230720,BBBA,B-family,None,false,BBBA,225,136,ses230720-units-probe1-spk-BBBA.npy,true,None
230720,BBBX,B-family,p4,true,BBBA,32,136,ses230720-units-probe1-spk-BBBX.npy,true,None
230720,BBXA,B-family,p3,true,BBBA,39,136,ses230720-units-probe1-spk-BBXA.npy,true,None
230720,BXBA,B-family,p2,true,BBBA,34,136,ses230720-units-probe1-spk-BXBA.npy,true,None
230720,RRRR,R-family,None,false,RRRR,139,136,ses230720-units-probe1-spk-RRRR.npy,true,None
230720,RRRX,R-family,p4,true,RRRR,87,136,ses230720-units-probe1-spk-RRRX.npy,true,None
230720,RRXR,R-family,p3,true,RRRR,38,136,ses230720-units-probe1-spk-RRXR.npy,true,None
230720,RXRR,R-family,p2,true,RRRR,36,136,ses230720-units-probe1-spk-RXRR.npy,true,None
230721,AAAB,A-family,None,false,AAAB,238,57,ses230721-units-probe0-spk-AAAB.npy,true,None
230721,AAAX,A-family,p4,true,AAAB,33,57,ses230721-units-probe0-spk-AAAX.npy,true,None
230721,AAXB,A-family,p3,true,AAAB,32,57,ses230721-units-probe0-spk-AAXB.npy,true,None
230721,AXAB,A-family,p2,true,AAAB,27,57,ses230721-units-probe0-spk-AXAB.npy,true,None
230721,BBBA,B-family,None,false,BBBA,231,57,ses230721-units-probe0-spk-BBBA.npy,true,None
230721,BBBX,B-family,p4,true,BBBA,33,57,ses230721-units-probe0-spk-BBBX.npy,true,None
230721,BBXA,B-family,p3,true,BBBA,34,57,ses230721-units-probe0-spk-BBXA.npy,true,None
230721,BXBA,B-family,p2,true,BBBA,32,57,ses230721-units-probe0-spk-BXBA.npy,true,None
230721,RRRR,R-family,None,false,RRRR,140,57,ses230721-units-probe0-spk-RRRR.npy,true,None
230721,RRRX,R-family,p4,true,RRRR,74,57,ses230721-units-probe0-spk-RRRX.npy,true,None
230721,RRXR,R-family,p3,true,RRRR,24,57,ses230721-units-probe0-spk-RRXR.npy,true,None
230721,RXRR,R-family,p2,true,RRRR,62,57,ses230721-units-probe0-spk-RXRR.npy,true,None
230721,AAAB,A-family,None,false,AAAB,238,220,ses230721-units-probe1-spk-AAAB.npy,true,None
230721,AAAX,A-family,p4,true,AAAB,33,220,ses230721-units-probe1-spk-AAAX.npy,true,None
230721,AAXB,A-family,p3,true,AAAB,32,220,ses230721-units-probe1-spk-AAXB.npy,true,None
230721,AXAB,A-family,p2,true,AAAB,27,220,ses230721-units-probe1-spk-AXAB.npy,true,None
230721,BBBA,B-family,None,false,BBBA,231,220,ses230721-units-probe1-spk-BBBA.npy,true,None
230721,BBBX,B-family,p4,true,BBBA,33,220,ses230721-units-probe1-spk-BBBX.npy,true,None
230721,BBXA,B-family,p3,true,BBBA,34,220,ses230721-units-probe1-spk-BBXA.npy,true,None
230721,BXBA,B-family,p2,true,BBBA,32,220,ses230721-units-probe1-spk-BXBA.npy,true,None
230721,RRRR,R-family,None,false,RRRR,140,220,ses230721-units-probe1-spk-RRRR.npy,true,None
230721,RRRX,R-family,p4,true,RRRR,74,220,ses230721-units-probe1-spk-RRRX.npy,true,None
230721,RRXR,R-family,p3,true,RRRR,24,220,ses230721-units-probe1-spk-RRXR.npy,true,None
230721,RXRR,R-family,p2,true,RRRR,62,220,ses230721-units-probe1-spk-RXRR.npy,true,None
230816,AAAB,A-family,None,false,AAAB,370,102,ses230816-units-probe0-spk-AAAB.npy,true,None
230816,AAAX,A-family,p4,true,AAAB,36,102,ses230816-units-probe0-spk-AAAX.npy,true,None
230816,AAXB,A-family,p3,true,AAAB,44,102,ses230816-units-probe0-spk-AAXB.npy,true,None
230816,AXAB,A-family,p2,true,AAAB,59,102,ses230816-units-probe0-spk-AXAB.npy,true,None
230816,BBBA,B-family,None,false,BBBA,348,102,ses230816-units-probe0-spk-BBBA.npy,true,None
230816,BBBX,B-family,p4,true,BBBA,44,102,ses230816-units-probe0-spk-BBBX.npy,true,None
230816,BBXA,B-family,p3,true,BBBA,51,102,ses230816-units-probe0-spk-BBXA.npy,true,None
230816,BXBA,B-family,p2,true,BBBA,62,102,ses230816-units-probe0-spk-BXBA.npy,true,None
