session_id,condition,signal_class,source_file,shape,dims,n_trials,n_units,n_timepoints,time_axis_status,p1_relative_possible,omission_relative_possible,payload_read_policy,warnings
230629,AAAB,SPK,ses230629-units-probe0-spk-AAAB.npy,"(48, 354, 6000)","trial, unit, time",48,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,AAAX,SPK,ses230629-units-probe0-spk-AAAX.npy,"(1, 354, 6000)","trial, unit, time",1,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,AAXB,SPK,ses230629-units-probe0-spk-AAXB.npy,"(5, 354, 6000)","trial, unit, time",5,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,AXAB,SPK,ses230629-units-probe0-spk-AXAB.npy,"(6, 354, 6000)","trial, unit, time",6,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,BBBA,SPK,ses230629-units-probe0-spk-BBBA.npy,"(50, 354, 6000)","trial, unit, time",50,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,BBBX,SPK,ses230629-units-probe0-spk-BBBX.npy,"(2, 354, 6000)","trial, unit, time",2,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,BBXA,SPK,ses230629-units-probe0-spk-BBXA.npy,"(3, 354, 6000)","trial, unit, time",3,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,BXBA,SPK,ses230629-units-probe0-spk-BXBA.npy,"(5, 354, 6000)","trial, unit, time",5,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,RRRR,SPK,ses230629-units-probe0-spk-RRRR.npy,"(84, 354, 6000)","trial, unit, time",84,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,RRRX,SPK,ses230629-units-probe0-spk-RRRX.npy,"(6, 354, 6000)","trial, unit, time",6,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,RRXR,SPK,ses230629-units-probe0-spk-RRXR.npy,"(2, 354, 6000)","trial, unit, time",2,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,RXRR,SPK,ses230629-units-probe0-spk-RXRR.npy,"(8, 354, 6000)","trial, unit, time",8,354,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,AAAB,SPK,ses230629-units-probe1-spk-AAAB.npy,"(48, 110, 6000)","trial, unit, time",48,110,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,AAAX,SPK,ses230629-units-probe1-spk-AAAX.npy,"(1, 110, 6000)","trial, unit, time",1,110,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,AAXB,SPK,ses230629-units-probe1-spk-AAXB.npy,"(5, 110, 6000)","trial, unit, time",5,110,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,AXAB,SPK,ses230629-units-probe1-spk-AXAB.npy,"(6, 110, 6000)","trial, unit, time",6,110,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,BBBA,SPK,ses230629-units-probe1-spk-BBBA.npy,"(50, 110, 6000)","trial, unit, time",50,110,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,BBBX,SPK,ses230629-units-probe1-spk-BBBX.npy,"(2, 110, 6000)","trial, unit, time",2,110,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
230629,BBXA,SPK,ses230629-units-probe1-spk-BBXA.npy,"(3, 110, 6000)","trial, unit, time",3,110,6000,valid_timebase_6000ms,true,true,memmap_slice_capped_trials_20_units_5,None
