session_id,condition,smoke_metric,value,units,n_trials,n_units,n_timepoints,computed_from_slice,interpretation_allowed
230629,AAAB,finite_fraction,1.000000,ratio,48,354,6000,true,false
230629,AAAB,nonnegative_fraction,1.000000,ratio,48,354,6000,true,false
230629,AAAB,total_nonzero_bins_preview,856,bins,48,354,6000,true,false
230629,AAAB,mean_rate_preview_if_units_known,1.426667,Hz,48,354,6000,true,false
230629,AAAB,trial_count,48,trials,48,354,6000,false,false
230629,AAAB,unit_count,354,units,48,354,6000,false,false
230629,AAAB,timepoint_count,6000,timepoints,48,354,6000,false,false
230629,AAAX,finite_fraction,1.000000,ratio,1,354,6000,true,false
230629,AAAX,nonnegative_fraction,1.000000,ratio,1,354,6000,true,false
230629,AAAX,total_nonzero_bins_preview,35,bins,1,354,6000,true,false
230629,AAAX,mean_rate_preview_if_units_known,1.166667,Hz,1,354,6000,true,false
230629,AAAX,trial_count,1,trials,1,354,6000,false,false
230629,AAAX,unit_count,354,units,1,354,6000,false,false
230629,AAAX,timepoint_count,6000,timepoints,1,354,6000,false,false
230629,AAXB,finite_fraction,1.000000,ratio,5,354,6000,true,false
230629,AAXB,nonnegative_fraction,1.000000,ratio,5,354,6000,true,false
230629,AAXB,total_nonzero_bins_preview,275,bins,5,354,6000,true,false
230629,AAXB,mean_rate_preview_if_units_known,1.833333,Hz,5,354,6000,true,false
230629,AAXB,trial_count,5,trials,5,354,6000,false,false
230629,AAXB,unit_count,354,units,5,354,6000,false,false
230629,AAXB,timepoint_count,6000,timepoints,5,354,6000,false,false
230629,AXAB,finite_fraction,1.000000,ratio,6,354,6000,true,false
230629,AXAB,nonnegative_fraction,1.000000,ratio,6,354,6000,true,false
230629,AXAB,total_nonzero_bins_preview,300,bins,6,354,6000,true,false
230629,AXAB,mean_rate_preview_if_units_known,1.666667,Hz,6,354,6000,true,false
230629,AXAB,trial_count,6,trials,6,354,6000,false,false
230629,AXAB,unit_count,354,units,6,354,6000,false,false
230629,AXAB,timepoint_count,6000,timepoints,6,354,6000,false,false
230629,BBBA,finite_fraction,1.000000,ratio,50,354,6000,true,false
230629,BBBA,nonnegative_fraction,1.000000,ratio,50,354,6000,true,false
230629,BBBA,total_nonzero_bins_preview,1081,bins,50,354,6000,true,false
230629,BBBA,mean_rate_preview_if_units_known,1.801667,Hz,50,354,6000,true,false
230629,BBBA,trial_count,50,trials,50,354,6000,false,false
230629,BBBA,unit_count,354,units,50,354,6000,false,false
230629,BBBA,timepoint_count,6000,timepoints,50,354,6000,false,false
230629,BBBX,finite_fraction,1.000000,ratio,2,354,6000,true,false
230629,BBBX,nonnegative_fraction,1.000000,ratio,2,354,6000,true,false
230629,BBBX,total_nonzero_bins_preview,94,bins,2,354,6000,true,false
230629,BBBX,mean_rate_preview_if_units_known,1.566667,Hz,2,354,6000,true,false
230629,BBBX,trial_count,2,trials,2,354,6000,false,false
230629,BBBX,unit_count,354,units,2,354,6000,false,false
230629,BBBX,timepoint_count,6000,timepoints,2,354,6000,false,false
230629,BBXA,finite_fraction,1.000000,ratio,3,354,6000,true,false
230629,BBXA,nonnegative_fraction,1.000000,ratio,3,354,6000,true,false
230629,BBXA,total_nonzero_bins_preview,132,bins,3,354,6000,true,false
230629,BBXA,mean_rate_preview_if_units_known,1.466667,Hz,3,354,6000,true,false
230629,BBXA,trial_count,3,trials,3,354,6000,false,false
230629,BBXA,unit_count,354,units,3,354,6000,false,false
230629,BBXA,timepoint_count,6000,timepoints,3,354,6000,false,false
230629,BXBA,finite_fraction,1.000000,ratio,5,354,6000,true,false
230629,BXBA,nonnegative_fraction,1.000000,ratio,5,354,6000,true,false
230629,BXBA,total_nonzero_bins_preview,284,bins,5,354,6000,true,false
230629,BXBA,mean_rate_preview_if_units_known,1.893333,Hz,5,354,6000,true,false
230629,BXBA,trial_count,5,trials,5,354,6000,false,false
230629,BXBA,unit_count,354,units,5,354,6000,false,false
230629,BXBA,timepoint_count,6000,timepoints,5,354,6000,false,false
230629,RRRR,finite_fraction,1.000000,ratio,84,354,6000,true,false
230629,RRRR,nonnegative_fraction,1.000000,ratio,84,354,6000,true,false
230629,RRRR,total_nonzero_bins_preview,1186,bins,84,354,6000,true,false
230629,RRRR,mean_rate_preview_if_units_known,1.976667,Hz,84,354,6000,true,false
230629,RRRR,trial_count,84,trials,84,354,6000,false,false
230629,RRRR,unit_count,354,units,84,354,6000,false,false
230629,RRRR,timepoint_count,6000,timepoints,84,354,6000,false,false
230629,RRRX,finite_fraction,1.000000,ratio,6,354,6000,true,false
230629,RRRX,nonnegative_fraction,1.000000,ratio,6,354,6000,true,false
230629,RRRX,total_nonzero_bins_preview,350,bins,6,354,6000,true,false
230629,RRRX,mean_rate_preview_if_units_known,1.944444,Hz,6,354,6000,true,false
230629,RRRX,trial_count,6,trials,6,354,6000,false,false
230629,RRRX,unit_count,354,units,6,354,6000,false,false
230629,RRRX,timepoint_count,6000,timepoints,6,354,6000,false,false
230629,RRXR,finite_fraction,1.000000,ratio,2,354,6000,true,false
230629,RRXR,nonnegative_fraction,1.000000,ratio,2,354,6000,true,false
230629,RRXR,total_nonzero_bins_preview,134,bins,2,354,6000,true,false
230629,RRXR,mean_rate_preview_if_units_known,2.233333,Hz,2,354,6000,true,false
230629,RRXR,trial_count,2,trials,2,354,6000,false,false
