session_id,condition,window_name,alignment_event,time_base,window_ms,expected_start_ms,expected_end_ms,index_start,index_end,n_timepoints_window,window_within_bounds,warnings
230629,AAAB,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,AAAB,omission_local_p2,omission_p2,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,AAAB,omission_local_p3,omission_p3,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,AAAB,omission_local_p4,omission_p4,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,AAAX,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,AAAX,omission_local,omission,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,AAXB,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,AAXB,omission_local,omission,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,AXAB,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,AXAB,omission_local,omission,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,BBBA,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,BBBA,omission_local_p2,omission_p2,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,BBBA,omission_local_p3,omission_p3,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,BBBA,omission_local_p4,omission_p4,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,BBBX,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,BBBX,omission_local,omission,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,BBXA,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,BBXA,omission_local,omission,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,BXBA,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,BXBA,omission_local,omission,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,RRRR,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,RRRR,omission_local_p2,omission_p2,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,RRRR,omission_local_p3,omission_p3,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,RRRR,omission_local_p4,omission_p4,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,RRRX,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,RRRX,omission_local,omission,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,RRXR,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,RRXR,omission_local,omission,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,RXRR,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,RXRR,omission_local,omission,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,AAAB,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,AAAB,omission_local_p2,omission_p2,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,AAAB,omission_local_p3,omission_p3,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,AAAB,omission_local_p4,omission_p4,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,AAAX,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,AAAX,omission_local,omission,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,AAXB,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,AAXB,omission_local,omission,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,AXAB,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,AXAB,omission_local,omission,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,BBBA,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,BBBA,omission_local_p2,omission_p2,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,BBBA,omission_local_p3,omission_p3,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,BBBA,omission_local_p4,omission_p4,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,BBBX,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,BBBX,omission_local,omission,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,BBXA,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,BBXA,omission_local,omission,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,BXBA,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,BXBA,omission_local,omission,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,RRRR,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,RRRR,omission_local_p2,omission_p2,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,true,None
230629,RRRR,omission_local_p3,omission_p3,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
230629,RRRR,omission_local_p4,omission_p4,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,RRRX,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,RRRX,omission_local,omission,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,true,None
230629,RRXR,full_sequence,p1,p1_relative,"[-1000, 4124]",-1000,4124,0,5124,5124,true,None
230629,RRXR,omission_local,omission,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,true,None
