session_id,family,condition,omission_slot,contrast_name,warning_type,n_warnings,affected_metric_rows,affected_units_if_available,action_recommendation
230629,A-family,AAAX,p4,all_primary,load_failed,1,2124,354,"Verify file integrity, check shape and trial dimensions."
230629,A-family,AAXB,p3,all_primary,load_failed,2,2124,354,"Verify file integrity, check shape and trial dimensions."
230629,A-family,AXAB,p2,all_primary,load_failed,2,2124,354,"Verify file integrity, check shape and trial dimensions."
230629,B-family,BBBX,p4,all_primary,load_failed,2,2124,354,"Verify file integrity, check shape and trial dimensions."
230629,B-family,BBXA,p3,all_primary,load_failed,2,2124,354,"Verify file integrity, check shape and trial dimensions."
230629,B-family,BXBA,p2,all_primary,load_failed,2,2124,354,"Verify file integrity, check shape and trial dimensions."
230629,R-family,RRRX,p4,all_primary,load_failed,2,2124,354,"Verify file integrity, check shape and trial dimensions."
230629,R-family,RRXR,p3,all_primary,load_failed,2,2124,354,"Verify file integrity, check shape and trial dimensions."
230629,R-family,RXRR,p2,all_primary,load_failed,2,2124,354,"Verify file integrity, check shape and trial dimensions."
230630,A-family,AAAX,p4,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230630,A-family,AAXB,p3,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230630,A-family,AXAB,p2,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230630,B-family,BBBX,p4,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230630,B-family,BBXA,p3,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230630,B-family,BXBA,p2,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230630,R-family,RRRX,p4,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230630,R-family,RRXR,p3,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230630,R-family,RXRR,p2,all_primary,load_failed,3,528,88,"Verify file integrity, check shape and trial dimensions."
230714,A-family,AAAX,p4,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230714,A-family,AAXB,p3,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230714,A-family,AXAB,p2,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230714,B-family,BBBX,p4,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230714,B-family,BBXA,p3,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230714,B-family,BXBA,p2,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230714,R-family,RRRX,p4,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230714,R-family,RRXR,p3,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230714,R-family,RXRR,p2,all_primary,load_failed,2,2538,423,"Verify file integrity, check shape and trial dimensions."
230719,A-family,AAAX,p4,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230719,A-family,AAXB,p3,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230719,A-family,AXAB,p2,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230719,B-family,BBBX,p4,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230719,B-family,BBXA,p3,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230719,B-family,BXBA,p2,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230719,R-family,RRRX,p4,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230719,R-family,RRXR,p3,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230719,R-family,RXRR,p2,all_primary,load_failed,2,1728,288,"Verify file integrity, check shape and trial dimensions."
230720,A-family,AAAX,p4,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
