session_id,n_units_session,stable_units_count,stable_units_fraction,average_label_entropy,robust_X_candidate_count,warning_burden_warnings_count
230629,354,337,0.9520,0.0989,0,17
230630,88,82,0.9318,0.1144,0,27
230714,423,421,0.9953,0.0481,0,18
230719,288,285,0.9896,0.1252,0,18
230720,181,178,0.9834,0.1529,0,18
230721,220,211,0.9591,0.1675,0,18
230816,141,136,0.9645,0.1579,0,27
230818,192,177,0.9219,0.1355,0,25
230823,193,188,0.9741,0.1860,0,27
230825,173,168,0.9711,0.1020,0,27
230830,513,503,0.9805,0.1264,0,27
230831,247,243,0.9838,0.1258,0,27
230901,508,506,0.9961,0.1081,0,18
