grid_index,threshold_scope,effect_minimum,omission_window,n_S_plus_candidate,n_S_minus_candidate,n_O_plus_candidate,n_O_minus_candidate,n_X_candidate,n_null_or_unclassified
1,"alpha=0.05, scope=within_session_all_units_all_primary_contrasts",0.3,1000-1500,571,522,3,6,0,2419
2,"alpha=0.05, scope=none (p_uncorrected)",0.0,1000-1500,714,872,6,6,4,1919
3,"alpha=0.01, scope=within_session_all_units_all_primary_contrasts",0.5,1000-1500,457,370,1,3,0,2690
4,"alpha=0.05, scope=global_all_units_all_primary_contrasts",0.3,1000-1500,574,529,3,5,0,2410
5,"alpha=0.01, scope=global_all_units_all_primary_contrasts",0.5,1000-1500,461,372,1,3,0,2684
6,"alpha=0.05, scope=per_metric_family",0.3,1000-1500,576,529,2,3,0,2411
7,"alpha=0.05, scope=within_session_all_units_all_primary_contrasts",0.3,1000-1300,573,522,1,5,0,2420
8,"alpha=0.05, scope=within_session_all_units_all_primary_contrasts",0.3,1000-1700,571,522,4,6,0,2418
9,"alpha=0.05, scope=within_session_all_units_all_primary_contrasts",0.3,1000-1500,576,523,0,0,0,2422
10,"alpha=0.05, scope=within_session_all_units_all_primary_contrasts",0.3,1000-1500,576,523,0,0,0,2422
11,"alpha=0.05, scope=within_session_all_units_all_primary_contrasts",0.3,1000-1500,571,522,3,6,0,2419
12,"alpha=0.05, scope=within_session_all_units_all_primary_contrasts",0.3,1000-1500,550,476,0,0,0,2495
