grid_index,alpha_level,q_scope,cohens_d_minimum,omission_window,slot_stratification,family_stratification,notes
1,0.05,within_session_all_units_all_primary_contrasts,0.3,1000-1500,all,all,Canonical Phase A8.1 baseline parameter configuration
2,0.05,none (p_uncorrected),0.0,1000-1500,all,all,Highly liberal uncorrected significance sweep
3,0.01,within_session_all_units_all_primary_contrasts,0.5,1000-1500,all,all,Stringent session-level FDR with moderate effect minimum
4,0.05,global_all_units_all_primary_contrasts,0.3,1000-1500,all,all,Global FDR sweep across all pooled units
5,0.01,global_all_units_all_primary_contrasts,0.5,1000-1500,all,all,Strict global FDR sweep with moderate effect minimum
6,0.05,per_metric_family,0.3,1000-1500,all,all,Exploratory FDR correction mapped within contrast families
7,0.05,within_session_all_units_all_primary_contrasts,0.3,1000-1300,all,all,Narrow omission window timing sweep (Omission core)
8,0.05,within_session_all_units_all_primary_contrasts,0.3,1000-1700,all,all,Wide omission window timing sweep (Extended epoch)
9,0.05,within_session_all_units_all_primary_contrasts,0.3,1000-1500,p2,all,Slot-specific sweep isolated to delay slot 2 omissions
10,0.05,within_session_all_units_all_primary_contrasts,0.3,1000-1500,p3,all,Slot-specific sweep isolated to delay slot 3 omissions
11,0.05,within_session_all_units_all_primary_contrasts,0.3,1000-1500,p4,all,Slot-specific sweep isolated to delay slot 4 omissions
12,0.05,within_session_all_units_all_primary_contrasts,0.3,1000-1500,all,A+B,Family-specific sweep restricted to highly predictable condition sequences
