session_id,n_units_total,n_heuristic_equal_segment,n_invalid_channel,n_invalid_probe,n_metadata_resolved_channel,n_metadata_resolved_equal_segment,n_provisional_unit_area_from_count_matched_row_order,n_unknown_area,n_unmapped_no_metadata,n_unresolved_generic_v3,n_can_support_area_claim,n_can_support_hierarchy_claim
230629,354,0,0,0,0,0,0,0,354,0,0,0
230630,88,0,0,0,0,0,88,0,0,0,0,0
230714,423,0,0,0,0,0,0,0,423,0,0,0
230719,288,0,0,0,0,0,0,0,288,0,0,0
230720,181,0,0,0,0,0,0,0,181,0,0,0
230721,220,0,0,0,0,0,0,0,220,0,0,0
230816,141,0,0,0,0,0,0,0,141,0,0,0
230818,192,0,0,0,0,0,192,0,0,0,0,0
230823,193,0,0,0,0,0,0,0,193,0,0,0
230825,173,0,0,0,0,0,0,0,173,0,0,0
230830,513,0,0,0,0,0,513,0,0,0,0,0
230831,247,0,0,0,0,0,0,0,247,0,0,0
230901,508,0,0,0,0,0,0,0,508,0,0,0
