metric_name,signal_class,input_shape,output_shape,time_base,alignment_event,window_ms,baseline_ms,condition_set,matched_control,allowed_for_real_data,biological_interpretation_allowed,area_hierarchy_allowed,required_correction,required_effect_size,notes
fr_baseline_fx,SPK,"(trials, units, time)","(units,)",p1_relative,p1,"[-500, 0]",None,All,None,true,false,false,None,None,Pre-stimulus baseline firing rate
fr_stimulus_p1,SPK,"(trials, units, time)","(units,)",p1_relative,p1,"[0, 531]",None,All,None,true,false,false,None,None,Stimulus P1 firing rate
fr_stimulus_p2,SPK,"(trials, units, time)","(units,)",p1_relative,p1,"[1031, 1562]",None,All,None,true,false,false,None,None,Stimulus P2 firing rate
fr_stimulus_p3,SPK,"(trials, units, time)","(units,)",p1_relative,p1,"[2062, 2593]",None,All,None,true,false,false,None,None,Stimulus P3 firing rate
fr_stimulus_p4,SPK,"(trials, units, time)","(units,)",p1_relative,p1,"[3093, 3624]",None,All,None,true,false,false,None,None,Stimulus P4 firing rate
fr_omission_p2,SPK,"(trials, units, time)","(units,)",omission_relative,omission_p2,"[1031, 1562]",None,"AXAB, BXBA, RXRR","AAAB, BBBA, RRRR",true,false,false,None,None,Omission P2 firing rate
fr_omission_p3,SPK,"(trials, units, time)","(units,)",omission_relative,omission_p3,"[2062, 2593]",None,"AAXB, BBXA, RRXR","AAAB, BBBA, RRRR",true,false,false,None,None,Omission P3 firing rate
fr_omission_p4,SPK,"(trials, units, time)","(units,)",omission_relative,omission_p4,"[3093, 3624]",None,"AAAX, BBBX, RRRX","AAAB, BBBA, RRRR",true,false,false,None,None,Omission P4 firing rate
delta_stimulus_vs_baseline,SPK,"(trials, units, time)","(units,)",p1_relative,p1,"[0, 531]","[-500, 0]",All,None,true,false,false,Bonferroni-Holm,d > 0.5,Stimulus P1 rate minus baseline rate
delta_omission_vs_baseline,SPK,"(trials, units, time)","(units,)",omission_relative,omission,"[onset, onset+531]","[onset-250, onset-50]",Omission conditions,None,true,false,false,Bonferroni-Holm,d > 0.5,Omission rate minus local baseline rate
delta_omission_vs_matched_stimulus,SPK,"(trials, units, time)","(units,)",omission_relative,omission,"[onset, onset+531]","[onset, onset+531]",Omission conditions,Matched control,true,false,false,FDR BH,d > 0.5,Omission rate minus control stimulus rate
post_omission_gain_index_prototype,SPK,"(trials, units, time)","(units,)",omission_relative,omission,"[onset+531, onset+1000]","[onset-250, onset-50]",Omission conditions,None,true,false,false,None,None,"Post-omission delay firing rate gain, hypothesis_only"
