window_name,alignment_event,time_base,window_ms,expected_start_ms,expected_end_ms,index_start,index_end,n_timepoints,notes
baseline_fx,p1,p1_relative,"[-500, 0]",-500,0,500,1000,500,Pre-stimulus baseline
stimulus_p1,p1,p1_relative,"[0, 531]",0,531,1000,1531,531,P1 stimulus response
stimulus_p2,p1,p1_relative,"[1031, 1562]",1031,1562,2031,2562,531,P2 stimulus response
stimulus_p3,p1,p1_relative,"[2062, 2593]",2062,2593,3062,3593,531,P3 stimulus response
stimulus_p4,p1,p1_relative,"[3093, 3624]",3093,3624,4093,4624,531,P4 stimulus response
delay_d1,p1,p1_relative,"[531, 1031]",531,1031,1531,2031,500,D1 delay epoch
delay_d2,p1,p1_relative,"[1562, 2062]",1562,2062,2562,3062,500,D2 delay epoch
delay_d3,p1,p1_relative,"[2593, 3093]",2593,3093,3593,4093,500,D3 delay epoch
delay_d4,p1,p1_relative,"[3624, 4124]",3624,4124,4624,5124,500,D4 delay epoch
omission_local_p2,omission_p2,omission_relative,"[-1000, 1000]",31,2031,1031,3031,2000,Omission local window at P2
omission_local_p3,omission_p3,omission_relative,"[-1000, 1000]",1062,3062,2062,4062,2000,Omission local window at P3
omission_local_p4,omission_p4,omission_relative,"[-1000, 1000]",2093,4093,3093,5093,2000,Omission local window at P4
