session_id,unit_id,condition,fr_baseline_fx,fr_stimulus_p1,fr_omission_p2,fr_omission_baseline,fr_control_omission,delta_stimulus_vs_baseline,delta_omission_vs_baseline,delta_omission_vs_matched_stimulus,post_omission_gain_index_prototype,candidate_prototype_label,output_class,biological_interpretation_allowed
230629,unit_0,AAAB,3.600,2.731,2.166,3.750,3.600,-0.869,-1.584,-1.434,-1.618,null_or_unclassified,prototype_metric_output,false
230629,unit_1,AAAB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,null_or_unclassified,prototype_metric_output,false
230629,unit_2,AAAB,0.000,0.000,0.094,0.000,0.000,0.000,0.094,0.094,0.000,null_or_unclassified,prototype_metric_output,false
230629,unit_3,AAAB,0.000,0.000,0.000,0.250,0.000,0.000,-0.250,0.000,-0.250,null_or_unclassified,prototype_metric_output,false
230629,unit_4,AAAB,0.500,4.143,3.578,0.750,0.500,3.643,2.828,3.078,-0.430,S+,prototype_metric_output,false
230629,unit_0,AAAX,0.000,0.000,1.883,10.000,0.000,0.000,-8.117,1.883,-7.868,O-,prototype_metric_output,false
230629,unit_1,AAAX,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,null_or_unclassified,prototype_metric_output,false
230629,unit_2,AAAX,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,null_or_unclassified,prototype_metric_output,false
230629,unit_3,AAAX,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,null_or_unclassified,prototype_metric_output,false
230629,unit_4,AAAX,0.000,1.883,3.766,5.000,0.000,1.883,-1.234,3.766,-5.000,null_or_unclassified,prototype_metric_output,false
